timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741029054088,15,HTTP Request,200,OK,Thread Group 1-267,text,true,,276,229,34,34,http://localhost:3001/character/268810,15,0,0
1741029052834,1270,HTTP Request,201,Created,Thread Group 1-270,text,true,,281,223,34,34,http://localhost:3001/character,1270,0,0
1741029054104,0,Debug Sampler,200,OK,Thread Group 1-267,text,true,,371,0,34,34,null,0,0,0
1741029052834,1277,HTTP Request,201,Created,Thread Group 1-269,text,true,,282,224,33,33,http://localhost:3001/character,1277,0,0
1741029054096,15,HTTP Request,200,OK,Thread Group 1-268,text,true,,278,231,33,33,http://localhost:3001/character/268811,15,0,0
1741029054117,0,Debug Sampler,200,OK,Thread Group 1-268,text,true,,372,0,33,33,null,0,0,0
1741029054104,14,HTTP Request,200,OK,Thread Group 1-270,text,true,,277,230,32,32,http://localhost:3001/character/268812,14,0,0
1741029054119,0,Debug Sampler,200,OK,Thread Group 1-270,text,true,,376,0,32,32,null,0,0,0
1741029052837,1282,HTTP Request,201,Created,Thread Group 1-271,text,true,,280,222,31,31,http://localhost:3001/character,1282,0,0
1741029054117,10,HTTP Request,200,OK,Thread Group 1-269,text,true,,276,229,31,31,http://localhost:3001/character/268813,10,0,0
1741029054127,0,Debug Sampler,200,OK,Thread Group 1-269,text,true,,376,0,31,31,null,0,0,0
1741029052840,1287,HTTP Request,201,Created,Thread Group 1-272,text,true,,282,224,30,30,http://localhost:3001/character,1287,0,0
1741029054119,15,HTTP Request,200,OK,Thread Group 1-271,text,true,,282,235,30,30,http://localhost:3001/character/268814,15,0,0
1741029054134,0,Debug Sampler,200,OK,Thread Group 1-271,text,true,,372,0,30,30,null,0,0,0
1741029052843,1291,HTTP Request,201,Created,Thread Group 1-273,text,true,,280,222,29,29,http://localhost:3001/character,1291,0,0
1741029054127,13,HTTP Request,200,OK,Thread Group 1-272,text,true,,276,229,29,29,http://localhost:3001/character/268815,13,0,0
1741029054140,0,Debug Sampler,200,OK,Thread Group 1-272,text,true,,371,0,29,29,null,0,0,0
1741029052846,1295,HTTP Request,201,Created,Thread Group 1-274,text,true,,283,225,28,28,http://localhost:3001/character,1295,0,0
