timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740313348560,15,HTTP Request,200,OK,Thread Group 1-16,text,true,,340,158,37,37,http://localhost:3001/characters,15,0,4
1740313348560,17,HTTP Request,200,OK,Thread Group 1-8,text,true,,340,158,37,37,http://localhost:3001/characters,17,0,4
1740313348560,19,HTTP Request,200,OK,Thread Group 1-34,text,true,,340,158,37,37,http://localhost:3001/characters,19,0,4
1740313348577,4,HTTP Request,200,OK,Thread Group 1-16,text,true,,273,159,37,37,http://localhost:3001/character/2,4,0,0
1740313348577,5,HTTP Request,200,OK,Thread Group 1-8,text,true,,273,159,37,37,http://localhost:3001/character/2,5,0,0
1740313348560,24,HTTP Request,200,OK,Thread Group 1-35,text,true,,340,158,37,37,http://localhost:3001/characters,24,0,5
1740313348581,21,HTTP Request,201,Created,Thread Group 1-16,text,true,,281,228,39,39,http://localhost:3001/character,20,0,0
1740313348582,23,HTTP Request,201,Created,Thread Group 1-8,text,true,,281,228,39,39,http://localhost:3001/character,23,0,0
1740313348579,29,HTTP Request,200,OK,Thread Group 1-34,text,true,,273,159,40,40,http://localhost:3001/character/2,29,0,0
1740313348560,48,HTTP Request,200,OK,Thread Group 1-11,text,true,,424,158,40,40,http://localhost:3001/characters,48,0,4
1740313348602,8,HTTP Request,200,OK,Thread Group 1-16,text,true,,278,231,40,40,http://localhost:3001/character/1,8,0,0
1740313348605,6,HTTP Request,200,OK,Thread Group 1-8,text,true,,278,231,40,40,http://localhost:3001/character/1,6,0,0
1740313348608,4,HTTP Request,201,Created,Thread Group 1-34,text,true,,281,228,40,40,http://localhost:3001/character,4,0,0
1740313348584,28,HTTP Request,200,OK,Thread Group 1-35,text,true,,273,159,40,40,http://localhost:3001/character/2,28,0,0
1740313348561,52,HTTP Request,200,OK,Thread Group 1-33,text,true,,480,158,40,40,http://localhost:3001/characters,52,0,3
1740313348611,5,HTTP Request,200,OK,Thread Group 1-16,text,true,,293,181,41,41,http://localhost:3001/character/3,5,0,0
1740313348611,5,HTTP Request,404,Not Found,Thread Group 1-8,text,false,,273,181,40,40,http://localhost:3001/character/3,5,0,0
1740313348612,5,HTTP Request,200,OK,Thread Group 1-34,text,true,,278,231,39,39,http://localhost:3001/character/1,5,0,0
1740313348609,9,HTTP Request,200,OK,Thread Group 1-11,text,true,,273,159,39,39,http://localhost:3001/character/2,9,0,0
1740313348560,58,HTTP Request,200,OK,Thread Group 1-1,text,true,,446,158,39,39,http://localhost:3001/characters,58,0,4
1740313348613,8,HTTP Request,201,Created,Thread Group 1-35,text,true,,281,228,39,39,http://localhost:3001/character,8,0,0
1740313348613,8,HTTP Request,200,OK,Thread Group 1-33,text,true,,273,159,39,39,http://localhost:3001/character/2,8,0,0
1740313348560,62,HTTP Request,200,OK,Thread Group 1-32,text,true,,488,158,39,39,http://localhost:3001/characters,62,0,4
1740313348622,3,HTTP Request,200,OK,Thread Group 1-35,text,true,,278,231,40,40,http://localhost:3001/character/1,3,0,0
1740313348622,3,HTTP Request,201,Created,Thread Group 1-33,text,true,,281,228,40,40,http://localhost:3001/character,3,0,0
1740313348622,4,HTTP Request,200,OK,Thread Group 1-32,text,true,,273,159,40,40,http://localhost:3001/character/2,4,0,0
1740313348618,9,HTTP Request,404,Not Found,Thread Group 1-34,text,false,,273,181,40,40,http://localhost:3001/character/3,9,0,0
1740313348618,9,HTTP Request,200,OK,Thread Group 1-1,text,true,,273,159,39,39,http://localhost:3001/character/2,9,0,0
1740313348618,10,HTTP Request,201,Created,Thread Group 1-11,text,true,,281,228,39,39,http://localhost:3001/character,10,0,0
1740313348563,66,HTTP Request,200,OK,Thread Group 1-36,text,true,,573,158,39,39,http://localhost:3001/characters,66,0,1
1740313348625,4,HTTP Request,404,Not Found,Thread Group 1-35,text,false,,273,181,39,39,http://localhost:3001/character/3,4,0,0
1740313348625,7,HTTP Request,200,OK,Thread Group 1-33,text,true,,278,231,38,38,http://localhost:3001/character/1,7,0,0
1740313348626,6,HTTP Request,201,Created,Thread Group 1-32,text,true,,281,228,38,38,http://localhost:3001/character,6,0,0
1740313348628,5,HTTP Request,201,Created,Thread Group 1-1,text,true,,282,228,38,38,http://localhost:3001/character,5,0,0
1740313348561,72,HTTP Request,200,OK,Thread Group 1-19,text,true,,658,158,38,38,http://localhost:3001/characters,72,0,4
1740313348632,2,HTTP Request,404,Not Found,Thread Group 1-33,text,false,,273,181,38,38,http://localhost:3001/character/3,2,0,0
1740313348633,3,HTTP Request,200,OK,Thread Group 1-32,text,true,,278,231,38,38,http://localhost:3001/character/1,3,0,0
1740313348629,8,HTTP Request,200,OK,Thread Group 1-36,text,true,,273,159,38,38,http://localhost:3001/character/2,8,0,0
1740313348629,8,HTTP Request,200,OK,Thread Group 1-11,text,true,,278,231,38,38,http://localhost:3001/character/1,8,0,0
1740313348560,79,HTTP Request,200,OK,Thread Group 1-17,text,true,,658,158,38,38,http://localhost:3001/characters,79,0,4
1740313348636,6,HTTP Request,404,Not Found,Thread Group 1-32,text,false,,273,181,38,38,http://localhost:3001/character/3,6,0,0
1740313348637,6,HTTP Request,404,Not Found,Thread Group 1-11,text,false,,273,181,37,37,http://localhost:3001/character/3,6,0,0
1740313348637,7,HTTP Request,201,Created,Thread Group 1-36,text,true,,282,228,36,36,http://localhost:3001/character,7,0,0
1740313348639,5,HTTP Request,200,OK,Thread Group 1-17,text,true,,273,159,36,36,http://localhost:3001/character/2,5,0,0
1740313348633,12,HTTP Request,200,OK,Thread Group 1-19,text,true,,273,159,36,36,http://localhost:3001/character/2,12,0,0
1740313348633,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,278,231,37,37,http://localhost:3001/character/1,15,0,0
1740313348561,87,HTTP Request,200,OK,Thread Group 1-25,text,true,,701,158,37,37,http://localhost:3001/characters,87,0,4
