timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740314273128,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,1259796,158,2,2,http://localhost:3001/characters,15,0,1
1740314273146,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,273,159,2,2,http://localhost:3001/character/2,6,0,0
1740314273152,1,HTTP Request,201,Created,Thread Group 1-1,text,true,,285,228,2,2,http://localhost:3001/character,1,0,0
1740314273153,1,HTTP Request,200,OK,Thread Group 1-1,text,true,,278,231,2,2,http://localhost:3001/character/1,1,0,0
1740314273154,1,HTTP Request,404,Not Found,Thread Group 1-1,text,false,,273,181,2,2,http://localhost:3001/character/3,1,0,0
1740314273155,11,HTTP Request,200,OK,Thread Group 1-1,text,true,,1259842,158,3,3,http://localhost:3001/characters,11,0,0
1740314273158,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,1259842,158,3,3,http://localhost:3001/characters,14,0,1
1740314273172,1,HTTP Request,200,OK,Thread Group 1-1,text,true,,273,159,3,3,http://localhost:3001/character/2,1,0,0
1740314273173,1,HTTP Request,200,OK,Thread Group 1-3,text,true,,273,159,4,4,http://localhost:3001/character/2,1,0,0
1740314273173,1,HTTP Request,201,Created,Thread Group 1-1,text,true,,285,228,4,4,http://localhost:3001/character,1,0,0
1740314273174,1,HTTP Request,201,Created,Thread Group 1-3,text,true,,285,228,4,4,http://localhost:3001/character,1,0,0
1740314273174,1,HTTP Request,200,OK,Thread Group 1-1,text,true,,278,231,4,4,http://localhost:3001/character/1,1,0,0
1740314273174,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,1259934,158,4,4,http://localhost:3001/characters,8,0,0
1740314273175,8,HTTP Request,200,OK,Thread Group 1-3,text,true,,278,231,4,4,http://localhost:3001/character/1,8,0,0
1740314273175,9,HTTP Request,404,Not Found,Thread Group 1-1,text,false,,273,181,4,4,http://localhost:3001/character/3,9,0,0
1740314273183,1,HTTP Request,404,Not Found,Thread Group 1-3,text,false,,273,181,4,4,http://localhost:3001/character/3,1,0,0
1740314273183,1,HTTP Request,200,OK,Thread Group 1-4,text,true,,273,159,4,4,http://localhost:3001/character/2,1,0,0
1740314273184,7,HTTP Request,200,OK,Thread Group 1-1,text,true,,1259934,158,4,4,http://localhost:3001/characters,7,0,0
1740314273184,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,1259934,158,5,5,http://localhost:3001/characters,14,0,0
1740314273184,14,HTTP Request,201,Created,Thread Group 1-4,text,true,,285,228,5,5,http://localhost:3001/character,14,0,0
1740314273192,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,273,159,5,5,http://localhost:3001/character/2,6,0,0
1740314273198,1,HTTP Request,200,OK,Thread Group 1-3,text,true,,273,159,5,5,http://localhost:3001/character/2,1,0,0
1740314273198,1,HTTP Request,200,OK,Thread Group 1-4,text,true,,278,231,5,5,http://localhost:3001/character/1,1,0,0
1740314273199,0,HTTP Request,201,Created,Thread Group 1-3,text,true,,285,228,5,5,http://localhost:3001/character,0,0,0
1740314273198,2,HTTP Request,201,Created,Thread Group 1-1,text,true,,285,228,5,5,http://localhost:3001/character,2,0,0
1740314273199,1,HTTP Request,200,OK,Thread Group 1-3,text,true,,278,231,5,5,http://localhost:3001/character/1,1,0,0
1740314273199,1,HTTP Request,404,Not Found,Thread Group 1-4,text,false,,273,181,5,5,http://localhost:3001/character/3,1,0,0
1740314273198,10,HTTP Request,200,OK,Thread Group 1-5,text,true,,1260072,158,5,5,http://localhost:3001/characters,9,0,0
1740314273200,8,HTTP Request,404,Not Found,Thread Group 1-3,text,false,,273,181,5,5,http://localhost:3001/character/3,8,0,0
1740314273200,15,HTTP Request,200,OK,Thread Group 1-4,text,true,,1260072,158,5,5,http://localhost:3001/characters,15,0,0
1740314273200,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,278,231,5,5,http://localhost:3001/character/1,16,0,0
1740314273208,15,HTTP Request,200,OK,Thread Group 1-3,text,true,,1260072,158,6,6,http://localhost:3001/characters,15,0,0
1740314273208,16,HTTP Request,200,OK,Thread Group 1-5,text,true,,273,159,6,6,http://localhost:3001/character/2,16,0,0
1740314273224,0,HTTP Request,200,OK,Thread Group 1-3,text,true,,273,159,6,6,http://localhost:3001/character/2,0,0,0
1740314273216,8,HTTP Request,200,OK,Thread Group 1-4,text,true,,273,159,6,6,http://localhost:3001/character/2,8,0,0
1740314273216,9,HTTP Request,404,Not Found,Thread Group 1-1,text,false,,273,181,6,6,http://localhost:3001/character/3,9,0,0
1740314273224,1,HTTP Request,201,Created,Thread Group 1-3,text,true,,285,228,6,6,http://localhost:3001/character,1,0,0
1740314273224,1,HTTP Request,201,Created,Thread Group 1-4,text,true,,285,228,6,6,http://localhost:3001/character,1,0,0
1740314273224,2,HTTP Request,201,Created,Thread Group 1-5,text,true,,285,228,6,6,http://localhost:3001/character,2,0,0
1740314273216,20,HTTP Request,200,OK,Thread Group 1-6,text,true,,1260210,158,7,7,http://localhost:3001/characters,19,0,0
1740314273225,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,278,231,7,7,http://localhost:3001/character/1,11,0,0
1740314273225,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,278,231,7,7,http://localhost:3001/character/1,12,0,0
1740314273226,11,HTTP Request,200,OK,Thread Group 1-5,text,true,,278,231,7,7,http://localhost:3001/character/1,11,0,0
1740314273225,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,1260210,158,7,7,http://localhost:3001/characters,23,0,0
1740314273236,16,HTTP Request,404,Not Found,Thread Group 1-3,text,false,,273,181,7,7,http://localhost:3001/character/3,16,0,0
1740314273237,16,HTTP Request,404,Not Found,Thread Group 1-4,text,false,,273,181,7,7,http://localhost:3001/character/3,16,0,0
1740314273237,16,HTTP Request,404,Not Found,Thread Group 1-5,text,false,,273,181,7,7,http://localhost:3001/character/3,16,0,0
1740314273248,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,273,159,7,7,http://localhost:3001/character/2,5,0,0
1740314273236,17,HTTP Request,200,OK,Thread Group 1-6,text,true,,273,159,7,7,http://localhost:3001/character/2,17,0,0
1740314273234,28,HTTP Request,200,OK,Thread Group 1-7,text,true,,1260210,158,8,8,http://localhost:3001/characters,27,0,0
1740314273252,18,HTTP Request,200,OK,Thread Group 1-3,text,true,,1260210,158,8,8,http://localhost:3001/characters,17,0,0
1740314273253,24,HTTP Request,200,OK,Thread Group 1-4,text,true,,1260210,158,9,9,http://localhost:3001/characters,23,0,0
1740314273253,32,HTTP Request,200,OK,Thread Group 1-5,text,true,,1260210,158,9,9,http://localhost:3001/characters,31,0,0
1740314273253,32,HTTP Request,201,Created,Thread Group 1-1,text,true,,285,228,9,9,http://localhost:3001/character,32,0,0
1740314273254,32,HTTP Request,201,Created,Thread Group 1-6,text,true,,285,228,9,9,http://localhost:3001/character,32,0,0
1740314273270,16,HTTP Request,200,OK,Thread Group 1-3,text,true,,273,159,9,9,http://localhost:3001/character/2,16,0,0
1740314273277,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,273,159,9,9,http://localhost:3001/character/2,9,0,0
1740314273285,1,HTTP Request,200,OK,Thread Group 1-5,text,true,,273,159,9,9,http://localhost:3001/character/2,1,0,0
1740314273285,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,278,231,9,9,http://localhost:3001/character/1,2,0,0
1740314273262,25,HTTP Request,200,OK,Thread Group 1-7,text,true,,273,159,9,9,http://localhost:3001/character/2,25,0,0
1740314273258,37,HTTP Request,200,OK,Thread Group 1-8,text,true,,1260302,158,10,10,http://localhost:3001/characters,36,0,0
1740314273286,9,HTTP Request,201,Created,Thread Group 1-3,text,true,,285,228,10,10,http://localhost:3001/character,9,0,0
1740314273286,10,HTTP Request,201,Created,Thread Group 1-4,text,true,,285,228,10,10,http://localhost:3001/character,10,0,0
1740314273286,10,HTTP Request,201,Created,Thread Group 1-5,text,true,,285,228,10,10,http://localhost:3001/character,10,0,0
1740314273287,10,HTTP Request,404,Not Found,Thread Group 1-1,text,false,,273,181,10,10,http://localhost:3001/character/3,10,0,0
1740314273287,10,HTTP Request,201,Created,Thread Group 1-7,text,true,,285,228,10,10,http://localhost:3001/character,10,0,0
1740314273286,11,HTTP Request,200,OK,Thread Group 1-6,text,true,,278,231,10,10,http://localhost:3001/character/1,11,0,0
1740314273276,29,HTTP Request,200,OK,Thread Group 1-9,text,true,,1260486,158,10,10,http://localhost:3001/characters,28,0,1
1740314273295,10,HTTP Request,200,OK,Thread Group 1-3,text,true,,278,231,10,10,http://localhost:3001/character/1,10,0,0
1740314273296,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,278,231,10,10,http://localhost:3001/character/1,9,0,0
1740314273296,10,HTTP Request,200,OK,Thread Group 1-5,text,true,,278,231,10,10,http://localhost:3001/character/1,10,0,0
1740314273297,16,HTTP Request,200,OK,Thread Group 1-1,text,true,,1260486,158,10,10,http://localhost:3001/characters,16,0,0
1740314273297,17,HTTP Request,200,OK,Thread Group 1-7,text,true,,278,231,10,10,http://localhost:3001/character/1,17,0,0
1740314273297,17,HTTP Request,404,Not Found,Thread Group 1-6,text,false,,273,181,10,10,http://localhost:3001/character/3,17,0,0
1740314273295,19,HTTP Request,200,OK,Thread Group 1-8,text,true,,273,159,10,10,http://localhost:3001/character/2,19,0,0
1740314273305,10,HTTP Request,404,Not Found,Thread Group 1-3,text,false,,273,181,10,10,http://localhost:3001/character/3,10,0,0
1740314273305,10,HTTP Request,404,Not Found,Thread Group 1-4,text,false,,273,181,10,10,http://localhost:3001/character/3,10,0,0
1740314273306,10,HTTP Request,404,Not Found,Thread Group 1-5,text,false,,273,181,10,10,http://localhost:3001/character/3,10,0,0
1740314273314,2,HTTP Request,200,OK,Thread Group 1-1,text,true,,273,159,10,10,http://localhost:3001/character/2,2,0,0
1740314273314,2,HTTP Request,404,Not Found,Thread Group 1-7,text,false,,273,181,10,10,http://localhost:3001/character/3,2,0,0
1740314273314,11,HTTP Request,200,OK,Thread Group 1-6,text,true,,1260486,158,11,11,http://localhost:3001/characters,10,0,0
1740314273314,11,HTTP Request,201,Created,Thread Group 1-8,text,true,,285,228,11,11,http://localhost:3001/character,11,0,0
1740314273305,20,HTTP Request,200,OK,Thread Group 1-9,text,true,,273,159,11,11,http://localhost:3001/character/2,20,0,0
1740314273295,39,HTTP Request,200,OK,Thread Group 1-10,text,true,,1260532,158,12,12,http://localhost:3001/characters,38,0,0
1740314273315,27,HTTP Request,200,OK,Thread Group 1-3,text,true,,1260532,158,12,12,http://localhost:3001/characters,26,0,0
1740314273316,34,HTTP Request,200,OK,Thread Group 1-4,text,true,,1260532,158,12,12,http://localhost:3001/characters,33,0,0
1740314273316,41,HTTP Request,200,OK,Thread Group 1-5,text,true,,1260532,158,13,13,http://localhost:3001/characters,41,0,0
1740314273316,42,HTTP Request,201,Created,Thread Group 1-1,text,true,,285,228,13,13,http://localhost:3001/character,42,0,0
