timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740313460899,2,HTTP Request,404,Not Found,Thread Group 1-320,text,false,,273,181,681,681,http://localhost:3001/character/3,2,0,0
1740313460899,2,HTTP Request,200,OK,Thread Group 1-322,text,true,,278,231,680,680,http://localhost:3001/character/1,2,0,0
1740313460900,2,HTTP Request,200,OK,Thread Group 1-321,text,true,,278,231,680,680,http://localhost:3001/character/1,2,0,0
1740313460900,2,HTTP Request,201,Created,Thread Group 1-323,text,true,,283,228,680,680,http://localhost:3001/character,2,0,0
1740313460900,2,HTTP Request,200,OK,Thread Group 1-326,text,true,,33176,158,680,680,http://localhost:3001/characters,2,0,0
1740313460900,2,HTTP Request,404,Not Found,Thread Group 1-325,text,false,,273,181,680,680,http://localhost:3001/character/3,2,0,0
1740313460900,3,HTTP Request,200,OK,Thread Group 1-328,text,true,,278,231,680,680,http://localhost:3001/character/1,3,0,0
1740313460900,3,HTTP Request,201,Created,Thread Group 1-324,text,true,,283,228,680,680,http://localhost:3001/character,3,0,0
1740313460899,4,HTTP Request,200,OK,Thread Group 1-330,text,true,,273,159,680,680,http://localhost:3001/character/2,4,0,0
1740313459939,964,HTTP Request,200,OK,Thread Group 1-327,text,true,,33220,158,680,680,http://localhost:3001/characters,964,0,0
1740313460901,3,HTTP Request,404,Not Found,Thread Group 1-322,text,false,,273,181,680,680,http://localhost:3001/character/3,3,0,0
1740313460902,2,HTTP Request,404,Not Found,Thread Group 1-321,text,false,,273,181,679,679,http://localhost:3001/character/3,2,0,0
1740313460902,2,HTTP Request,200,OK,Thread Group 1-323,text,true,,278,231,678,678,http://localhost:3001/character/1,2,0,0
1740313460902,2,HTTP Request,200,OK,Thread Group 1-326,text,true,,273,159,678,678,http://localhost:3001/character/2,2,0,0
1740313460902,3,HTTP Request,200,OK,Thread Group 1-325,text,true,,33220,158,678,678,http://localhost:3001/characters,3,0,0
1740313460903,2,HTTP Request,404,Not Found,Thread Group 1-328,text,false,,273,181,678,678,http://localhost:3001/character/3,2,0,0
1740313460903,2,HTTP Request,200,OK,Thread Group 1-324,text,true,,278,231,678,678,http://localhost:3001/character/1,2,0,0
1740313460903,3,HTTP Request,201,Created,Thread Group 1-330,text,true,,283,228,678,678,http://localhost:3001/character,3,0,0
1740313460901,5,HTTP Request,200,OK,Thread Group 1-329,text,true,,273,159,678,678,http://localhost:3001/character/2,5,0,0
1740313460904,9,HTTP Request,404,Not Found,Thread Group 1-323,text,false,,273,181,678,678,http://localhost:3001/character/3,9,0,0
1740313460905,8,HTTP Request,404,Not Found,Thread Group 1-324,text,false,,273,181,678,678,http://localhost:3001/character/3,8,0,0
1740313460904,9,HTTP Request,201,Created,Thread Group 1-326,text,true,,283,228,678,678,http://localhost:3001/character,9,0,0
1740313460906,7,HTTP Request,200,OK,Thread Group 1-330,text,true,,278,231,678,678,http://localhost:3001/character/1,7,0,0
1740313460904,9,HTTP Request,200,OK,Thread Group 1-327,text,true,,273,159,678,678,http://localhost:3001/character/2,9,0,0
1740313459940,973,HTTP Request,200,OK,Thread Group 1-331,text,true,,33352,158,678,678,http://localhost:3001/characters,973,0,0
1740313460905,8,HTTP Request,200,OK,Thread Group 1-325,text,true,,273,159,678,678,http://localhost:3001/character/2,8,0,0
1740313459943,970,HTTP Request,200,OK,Thread Group 1-332,text,true,,33352,158,677,677,http://localhost:3001/characters,970,0,0
1740313459944,969,HTTP Request,200,OK,Thread Group 1-336,text,true,,33352,158,677,677,http://localhost:3001/characters,969,0,0
